Airport__Name,Aircraft__Make_Model,Effect__Amount_of_damage,Flight_Date,Aircraft__Airline_Operator,Origin_State,When__Phase_of_flight,Wildlife__Size,Wildlife__Species,When__Time_of_day,Cost__Other,Cost__Repair,Cost__Total_$,Speed_IAS_in_knots
PORTLAND INTL (OR),DORNIER 328,Minor,11/25/95 0:00,HORIZON AIR,Oregon,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
GREATER PITTSBURGH,B-737-200,Medium,12/12/93 0:00,US AIRWAYS*,Pennsylvania,Climb,Medium,Unknown bird - medium,Night,0,0,0,190.0
INDIANAPOLIS INTL,BE-300 KING,None,5/24/00 0:00,BUSINESS,Indiana,Approach,Small,Unknown bird - small,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,SAAB-340,None,4/23/01 0:00,AMERICAN EAGLE AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-80,None,5/7/94 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
NASHVILLE INTL,B-737-700,None,10/8/00 0:00,SOUTHWEST AIRLINES,Tennessee,Climb,Medium,Unknown bird - medium,Day,0,0,0,150.0
PHILADELPHIA INTL,DC-8-70,None,3/29/97 0:00,UPS AIRLINES,Pennsylvania,Descent,Medium,Unknown bird - medium,Night,0,0,0,215.0
WASHINGTON DULLES INTL ARPT,MD-80,None,5/9/91 0:00,AMERICAN AIRLINES,DC,Climb,Small,Unknown bird - small,Day,0,0,0,160.0
ORLANDO INTL,MD-82,None,12/22/92 0:00,AMERICAN AIRLINES,Florida,Approach,Small,Unknown bird - small,Day,0,0,0,135.0
HONOLULU INTL ARPT,EC-135,None,1/28/92 0:00,MILITARY,Hawaii,Landing Roll,Medium,Unknown bird or bat,Day,0,0,0,140.0
ORLANDO INTL,MD-80,None,2/25/96 0:00,CONTINENTAL AIRLINES,Florida,Approach,Large,Unknown bird - large,Day,0,0,0,160.0
SEATTLE-TACOMA INTL,B-737-400,None,8/27/99 0:00,ALASKA AIRLINES,Washington,Approach,Small,Unknown bird - small,Dusk,0,0,0,
HOUSTON-HOBBY,B-737-200,None,11/4/01 0:00,SOUTHWEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,250.0
LAMBERT-ST LOUIS INTL,B-727,None,11/21/94 0:00,TRANS WORLD AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,130.0
JOHN F KENNEDY INTL,MD-83,None,11/10/98 0:00,TRANS WORLD AIRLINES,New York,Take-off run,Small,Unknown bird - small,Dusk,0,0,0,140.0
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,8/27/92 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,180.0
MEMPHIS INTL,A-320,None,12/19/95 0:00,NORTHWEST AIRLINES,Tennessee,Take-off run,Small,Unknown bird - small,Day,0,0,0,
MEMPHIS INTL,SAAB-340,None,9/23/98 0:00,BUSINESS,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,120.0
KANSAS CITY INTL,A-300,None,10/5/01 0:00,FEDEX EXPRESS,Missouri,Approach,Small,Unknown bird - small,Dawn,0,0,0,165.0
NEW ORLEANS INTL,MD-80,None,6/2/00 0:00,TRANS WORLD AIRLINES,Louisiana,Landing Roll,Small,Unknown bird - small,Day,0,0,0,124.0
DALLAS/FORT WORTH INTL ARPT,B-727,None,11/21/96 0:00,DELTA AIR LINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,
EPPLEY AIRFIELD,LEARJET-35,None,11/1/01 0:00,BUSINESS,Nebraska,Climb,Small,Unknown bird - small,Day,0,0,0,180.0
HONOLULU INTL ARPT,DC-9-50,None,4/2/95 0:00,HAWAIIAN AIR,Hawaii,Take-off run,Small,Pacific golden-plover,Day,0,0,0,120.0
GEORGE BUSH INTERCONTINENTAL,EMB-120,None,9/21/99 0:00,EXPRESSJET (CONTINENTAL EXPRS),Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,
SEATTLE-TACOMA INTL,MD-80,None,5/29/96 0:00,ALASKA AIRLINES,Washington,Approach,Medium,Unknown bird - medium,Day,0,0,0,
JOHN F KENNEDY INTL,MD-80,None,11/14/91 0:00,BUSINESS,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,
WASHINGTON DULLES INTL ARPT,CL-RJ100/200,None,5/29/98 0:00,UNKNOWN,DC,Landing Roll,Small,European starling,Day,0,0,0,120.0
GEORGE BUSH INTERCONTINENTAL,EMB-120,None,2/12/93 0:00,EXPRESSJET (CONTINENTAL EXPRS),Texas,Approach,Small,Unknown bird - small,Day,0,0,0,115.0
HOUSTON-HOBBY,B-737-200,None,6/14/94 0:00,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,220.0
SAN ANTONIO INTL,B-737-200,None,5/3/90 0:00,SOUTHWEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,320.0
CHICAGO O'HARE INTL ARPT,MD-80,None,8/9/00 0:00,AMERICAN AIRLINES,Illinois,Landing Roll,Small,Unknown bird - small,Day,0,0,0,60.0
NEWARK LIBERTY INTL ARPT,MD-80,None,10/24/90 0:00,CONTINENTAL AIRLINES,New Jersey,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,
RONALD REAGAN WASHINGTON NATL,MD-80,None,9/25/95 0:00,AMERICAN AIRLINES,DC,Climb,Small,Unknown bird - small,Day,0,0,0,165.0
DENVER INTL AIRPORT,A-300,None,5/8/02 0:00,FEDEX EXPRESS,Colorado,Climb,Medium,Unknown bird - medium,Day,0,0,0,
LOUISVILLE INTL ARPT,B-737,None,5/8/92 0:00,UNITED AIRLINES,Kentucky,Climb,Small,European starling,Day,0,0,0,
LOS ANGELES INTL,B-737,None,11/3/90 0:00,AMERICA WEST AIRLINES,California,Climb,Small,Rock pigeon,Day,0,0,0,
MEMPHIS INTL,A-300,None,10/6/00 0:00,FEDEX EXPRESS,Tennessee,Approach,Medium,Unknown bird - medium,Night,0,0,0,170.0
DALLAS/FORT WORTH INTL ARPT,MD-82,Minor,9/26/99 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,250.0
NEW ORLEANS INTL,B-737-200,None,9/24/98 0:00,DELTA AIR LINES,Louisiana,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
GREATER PITTSBURGH,FOKKER F100,None,7/8/92 0:00,US AIRWAYS*,Pennsylvania,Approach,Small,European starling,Night,0,0,0,130.0
GREATER PITTSBURGH,MD-80,None,5/9/00 0:00,US AIRWAYS*,Pennsylvania,Approach,Medium,Unknown bird - medium,Day,0,0,0,130.0
DALLAS/FORT WORTH INTL ARPT,ATR-72,None,11/9/00 0:00,AMERICAN EAGLE AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,240.0
CHARLESTON AFB/INTL ARPT,C-17A,None,10/7/01 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,250.0
MEMPHIS INTL,B-737,Substantial,6/9/95 0:00,UNITED AIRLINES,Tennessee,Climb,Medium,Unknown bird - medium,Day,0,0,0,160.0
DALLAS/FORT WORTH INTL ARPT,B-757-200,None,8/25/93 0:00,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,250.0
PHILADELPHIA INTL,MD-80,None,8/4/96 0:00,AMERICAN AIRLINES,Pennsylvania,Approach,Medium,Unknown bird - medium,Day,0,0,0,140.0
AUSTIN-BERGSTROM INTL,B-737-300,None,9/9/01 0:00,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,220.0
PORTLAND INTL (OR),B-737,None,9/2/99 0:00,DELTA AIR LINES,Oregon,Approach,Medium,Unknown bird - medium,Day,0,0,0,
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-757-200,None,4/9/00 0:00,DELTA AIR LINES,Kentucky,Approach,Small,Unknown bird - small,Dusk,0,0,0,125.0
LAGUARDIA NY,MD-80,None,1/26/97 0:00,DELTA AIR LINES,New York,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,
EPPLEY AIRFIELD,BE-1900,None,8/10/93 0:00,MESA AIRLINES,Nebraska,Climb,Large,Unknown bird - large,Day,0,0,0,150.0
PORT COLUMBUS INTL,A-319,None,10/5/01 0:00,AMERICA WEST AIRLINES,Ohio,Approach,Small,Unknown bird - small,Night,0,0,0,185.0
SACRAMENTO INTL,B-727,None,11/11/94 0:00,DELTA AIR LINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,
PHILADELPHIA INTL,DHC8 DASH 8,None,11/1/93 0:00,PIEDMONT AIRLINES,Pennsylvania,Climb,Medium,Unknown bird - medium,Night,0,0,0,120.0
CHICAGO O'HARE INTL ARPT,MD-80,None,8/6/93 0:00,AMERICAN AIRLINES,Illinois,Climb,Small,Unknown bird - small,Day,0,0,0,250.0
HONOLULU INTL ARPT,B-737-200,None,10/16/98 0:00,ALOHA AIRLINES,Hawaii,Climb,Small,Unknown bird - small,Day,0,0,0,135.0
SALT LAKE CITY INTL,KC-135E,None,11/18/99 0:00,MILITARY,Utah,Approach,Small,Unknown bird - small,Day,0,0,0,150.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-757-200,None,6/30/02 0:00,DELTA AIR LINES,Kentucky,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,10/21/98 0:00,MILITARY,Louisiana,Approach,Small,Eastern meadowlark,Night,0,0,0,143.0
PHILADELPHIA INTL,B-737-300,Minor,7/28/01 0:00,US AIRWAYS*,Pennsylvania,Approach,Large,Canada goose,Dusk,0,0,0,
BALTIMORE WASH INTL,BA-31 JETSTR,None,6/9/90 0:00,PSA AIRLINES,Maryland,Take-off run,Small,Unknown bird - small,Day,0,0,0,130.0
RONALD REAGAN WASHINGTON NATL,B-737-400,None,5/9/92 0:00,US AIRWAYS*,DC,Approach,Large,Unknown bird - large,Night,0,0,0,140.0
NEWARK LIBERTY INTL ARPT,FOKKER F100,Minor,5/15/91 0:00,US AIRWAYS*,New Jersey,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,170.0
NEW ORLEANS INTL,MD-88,None,7/18/95 0:00,DELTA AIR LINES,Louisiana,Landing Roll,Small,Unknown bird - small,Day,0,0,0,60.0
SACRAMENTO INTL,B-737-300,None,9/28/90 0:00,UNITED AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,140.0
PHILADELPHIA INTL,B-737-300,Minor,6/10/02 0:00,US AIRWAYS*,Pennsylvania,Approach,Medium,Unknown bird - medium,Day,0,0,0,
PHILADELPHIA INTL,B-757-200,Minor,3/22/98 0:00,US AIRWAYS*,Pennsylvania,Landing Roll,Large,White-tailed deer,Night,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-80,None,7/24/01 0:00,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Night,0,0,0,250.0
GREATER PITTSBURGH,DC-9-30,Medium,12/21/90 0:00,US AIRWAYS*,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,250.0
SACRAMENTO INTL,B-737-300,None,4/27/98 0:00,AMERICA WEST AIRLINES,California,Climb,Small,Unknown bird - small,Night,0,0,0,250.0
LOS ANGELES INTL,A-320,None,4/3/97 0:00,UNITED AIRLINES,California,Climb,Small,Unknown bird - small,Day,0,0,0,
CHARLESTON AFB/INTL ARPT,C-17A,None,3/21/02 0:00,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,
LAGUARDIA NY,FOKKER F28 MK 1000,None,11/20/96 0:00,AMERICAN AIRLINES,New York,Approach,Medium,Unknown bird - medium,Day,0,0,0,135.0
SALT LAKE CITY INTL,EMB-120,None,1/6/01 0:00,SKYWEST AIRLINES,Utah,Landing Roll,Medium,Unknown bird - medium,Dawn,0,0,0,
CHICAGO O'HARE INTL ARPT,MD-80,None,10/27/00 0:00,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Dusk,0,0,0,200.0
PHILADELPHIA INTL,A-320,None,12/6/98 0:00,NORTHWEST AIRLINES,Pennsylvania,Approach,Medium,Unknown bird - medium,Day,0,0,0,130.0
NASHVILLE INTL,B-737-300,None,9/10/95 0:00,SOUTHWEST AIRLINES,Tennessee,Climb,Medium,Unknown bird - medium,Day,0,0,0,240.0
FORT LAUDERDALE/HOLLYWOOD INTL,DC-10-30,None,11/18/98 0:00,FEDEX EXPRESS,Florida,Approach,Medium,Unknown bird - medium,Night,0,0,0,
DENVER INTL AIRPORT,MD-80,None,7/8/01 0:00,AMERICAN AIRLINES,Colorado,Take-off run,Small,Unknown bird - small,Day,0,0,0,130.0
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,5/28/01 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Small,Rock pigeon,Day,0,0,0,110.0
BALTIMORE WASH INTL,B-737-300,None,2/15/02 0:00,SOUTHWEST AIRLINES,Maryland,Take-off run,Medium,Ring-billed gull,Day,0,0,0,135.0
AUSTIN-BERGSTROM INTL,MD-80,None,8/7/96 0:00,CONTINENTAL AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,
SALT LAKE CITY INTL,B-737,None,8/8/94 0:00,UNITED AIRLINES,Utah,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
INDIANAPOLIS INTL,A-300,None,5/3/00 0:00,FEDEX EXPRESS,Indiana,Approach,Small,Unknown bird - small,Night,0,0,0,240.0
PHILADELPHIA INTL,B-737-500,None,10/27/99 0:00,UNITED AIRLINES,Pennsylvania,Approach,Large,Canada goose,Night,0,0,0,135.0
CHARLESTON AFB/INTL ARPT,C-141B,None,8/9/93 0:00,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,100.0
CHICAGO MIDWAY INTL ARPT,B-737-300,None,6/24/93 0:00,SOUTHWEST AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,
BALTIMORE WASH INTL,BA-31 JETSTR,None,8/13/99 0:00,ATLANTIC COAST AIRLINES,Maryland,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
SACRAMENTO INTL,B-737-300,Minor,1/3/97 0:00,SOUTHWEST AIRLINES,California,Climb,Large,Unknown bird - large,Night,0,0,0,210.0
WASHINGTON DULLES INTL ARPT,EMB-120,None,6/26/93 0:00,COMAIR AIRLINES,DC,Climb,Medium,American crow,Day,0,0,0,120.0
NEWARK LIBERTY INTL ARPT,B-737-200,None,4/15/98 0:00,DELTA AIR LINES,New Jersey,Approach,Small,Unknown bird - small,Night,0,0,0,280.0
ORLANDO INTL,B-757-200,None,10/30/00 0:00,AMERICA WEST AIRLINES,Florida,Approach,Medium,Unknown bird - medium,Dawn,0,0,0,170.0
HONOLULU INTL ARPT,DC-9-50,None,9/21/99 0:00,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,125.0
CLEVELAND-HOPKINS INTL ARPT,EMB-120,None,9/9/98 0:00,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Landing Roll,Small,Unknown bird - small,Day,0,0,0,120.0
FORT LAUDERDALE/HOLLYWOOD INTL,B-727-200,None,11/2/91 0:00,AMERICAN AIRLINES,Florida,Descent,Medium,Unknown bird - medium,Day,0,0,0,270.0
LIHUE ARPT,B-737-200,None,12/30/99 0:00,ALOHA AIRLINES,Hawaii,Climb,Medium,Unknown bird - medium,Day,0,0,0,160.0
HONOLULU INTL ARPT,B-737-200,None,7/27/99 0:00,ALOHA AIRLINES,Hawaii,Approach,Large,Unknown bird - large,Day,0,0,0,160.0
LOGAN INTL,FOKKER F100,None,5/29/01 0:00,AMERICAN AIRLINES,Massachusetts,Approach,Small,Unknown bird - small,Night,0,0,0,180.0
TETERBORO AIRPORT,CL-601/604,Medium,4/9/00 0:00,BUSINESS,New Jersey,Take-off run,Medium,Mallard,Day,0,0,0,
PHILADELPHIA INTL,A-320,None,7/10/01 0:00,US AIRWAYS*,Pennsylvania,Approach,Small,Unknown bird - small,Night,0,0,0,150.0
CLEVELAND-HOPKINS INTL ARPT,B-737,None,12/20/00 0:00,CONTINENTAL AIRLINES,Ohio,Approach,Medium,Unknown bird - medium,Night,0,0,0,
SAN FRANCISCO INTL ARPT,B-767-200,None,11/20/96 0:00,AMERICAN AIRLINES,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,145.0
ORLANDO INTL,MD-88,None,10/17/99 0:00,DELTA AIR LINES,Florida,Climb,Medium,Unknown bird - medium,Night,0,0,0,200.0
LOUISVILLE INTL ARPT,CITATION II,None,11/5/97 0:00,BUSINESS,Kentucky,Climb,Medium,Unknown bird - medium,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,A-10A,None,11/7/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,783,783,160.0
INDIANAPOLIS INTL,B-737-200,None,7/24/97 0:00,SOUTHWEST AIRLINES,Indiana,Climb,Medium,Unknown bird - medium,Dusk,0,0,0,150.0
NEWARK LIBERTY INTL ARPT,B-727,None,10/25/95 0:00,CONTINENTAL AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,250.0
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,7/27/94 0:00,MILITARY,Louisiana,Approach,Small,Barn swallow,Day,0,0,0,145.0
LOS ANGELES INTL,B-737-300,None,7/29/96 0:00,SOUTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,180.0
SALT LAKE CITY INTL,CL-RJ100/200,Minor,6/23/00 0:00,SKYWEST AIRLINES,Utah,Approach,Small,Unknown bird - small,Day,0,0,0,142.0
BALTIMORE WASH INTL,SAAB-340,None,10/6/95 0:00,AMERICAN EAGLE AIRLINES,Maryland,Take-off run,Small,Rock pigeon,Day,0,0,0,
LOGAN INTL,DC-10-30,None,4/13/98 0:00,FEDEX EXPRESS,Massachusetts,Climb,Medium,Unknown bird - medium,Night,0,0,0,150.0
TETERBORO AIRPORT,C-560,None,11/20/96 0:00,BUSINESS,New Jersey,Approach,Medium,Red-tailed hawk,Day,0,0,0,
SALT LAKE CITY INTL,B-737-300,None,8/14/92 0:00,DELTA AIR LINES,Utah,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,FOKKER F100,None,7/11/02 0:00,AMERICAN AIRLINES,Illinois,Climb,Small,Unknown bird - small,Dusk,0,0,0,250.0
CHARLOTTE/DOUGLAS INTL ARPT,B-737-200,Medium,10/24/93 0:00,US AIRWAYS*,North Carolina,Approach,Medium,Unknown bird - medium,Day,0,0,0,135.0
CHICAGO O'HARE INTL ARPT,DC-10-10,None,7/29/94 0:00,AMERICAN AIRLINES,Illinois,Approach,Large,Unknown bird - large,Day,0,0,0,140.0
ATLANTA INTL,MD-80,None,3/26/97 0:00,DELTA AIR LINES,Georgia,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,120.0
DENVER INTL AIRPORT,B-737-200,None,8/27/95 0:00,UNITED AIRLINES,Colorado,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,
ATLANTA INTL,B-757-200,None,10/7/00 0:00,DELTA AIR LINES,Georgia,Descent,Large,Unknown bird - large,Day,0,0,0,180.0
DALLAS/FORT WORTH INTL ARPT,MD-80,Minor,8/29/98 0:00,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,250.0
SALT LAKE CITY INTL,B-737,None,6/26/94 0:00,UNITED AIRLINES,Utah,Take-off run,Medium,Unknown bird - medium,Dawn,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,MD-80,None,5/26/98 0:00,US AIRWAYS*,North Carolina,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,130.0
AUSTIN-BERGSTROM INTL,B-737-500,None,8/27/97 0:00,SOUTHWEST AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,125.0
FORT LAUDERDALE/HOLLYWOOD INTL,B-757-200,Minor,4/21/00 0:00,AMERICAN AIRLINES,Florida,Climb,Large,Unknown bird - large,Day,0,0,0,250.0
HOUSTON-HOBBY,C-185 SKYWAG,None,8/8/95 0:00,UNKNOWN,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,
PORTLAND INTL (OR),DHC8 DASH 8,None,9/16/00 0:00,HORIZON AIR,Oregon,Landing Roll,Small,Barn owl,Dawn,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,B-52,None,4/25/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,140.0
DALLAS/FORT WORTH INTL ARPT,MD-80,None,10/27/92 0:00,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,250.0
METRO OAKLAND INTL,DC-8-61,None,10/6/92 0:00,ABX AIR,California,Approach,Medium,Unknown bird - medium,Dawn,0,0,0,
CHICAGO O'HARE INTL ARPT,MD-83,None,8/18/97 0:00,AMERICAN AIRLINES,Illinois,Take-off run,Small,American kestrel,Day,0,0,0,120.0
GREATER PITTSBURGH,FOKKER F100,None,7/16/01 0:00,US AIRWAYS*,Pennsylvania,Approach,Small,Unknown bird - small,Dusk,0,0,0,
SAN ANTONIO INTL,B-727-200,None,10/12/92 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,170.0
MINNEAPOLIS-ST PAUL INTL,B-727-200,None,10/14/00 0:00,DELTA AIR LINES,Minnesota,Approach,Medium,Unknown bird - medium,Night,0,0,0,145.0
DALLAS/FORT WORTH INTL ARPT,MD-80,None,2/14/01 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,100.0
DALLAS/FORT WORTH INTL ARPT,MD-82,None,8/30/91 0:00,AMERICAN AIRLINES,Texas,Approach,Small,American robin,Day,0,0,0,135.0
AUSTIN-BERGSTROM INTL,B-727,None,2/7/91 0:00,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,150.0
NEW ORLEANS INTL,B-727-200,Medium,7/12/94 0:00,CONTINENTAL AIRLINES,Louisiana,Climb,Small,Laughing gull,Day,0,0,0,
GREATER PITTSBURGH,SAAB-340,None,10/23/01 0:00,AMERICAN EAGLE AIRLINES,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,190.0
CHARLOTTE/DOUGLAS INTL ARPT,B-737-200,None,9/22/93 0:00,US AIRWAYS*,North Carolina,Climb,Small,Unknown bird - small,Night,0,0,0,200.0
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,5/19/01 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,B-52H,C,7/30/98 0:00,MILITARY,Louisiana,Approach,Large,Great blue heron,Night,0,21360,21360,150.0
CHICAGO MIDWAY INTL ARPT,B-737-300,None,4/25/02 0:00,SOUTHWEST AIRLINES,Illinois,Landing Roll,Medium,Ring-billed gull,Day,0,0,0,100.0
DENVER INTL AIRPORT,B-737-300,None,6/26/01 0:00,UNITED AIRLINES,Colorado,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140.0
BALTIMORE WASH INTL,B-737-300,Medium,11/22/91 0:00,US AIRWAYS*,Maryland,Take-off run,Medium,Herring gull,Day,0,0,0,135.0
CHICAGO O'HARE INTL ARPT,B-767-200,None,9/30/91 0:00,AMERICAN AIRLINES,Illinois,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,135.0
WASHINGTON DULLES INTL ARPT,CL-RJ100/200,None,7/26/01 0:00,ATLANTIC COAST AIRLINES,DC,Approach,Small,Unknown bird - small,Day,0,0,0,146.0
MEMPHIS INTL,A-300,Substantial,3/26/97 0:00,FEDEX EXPRESS,Tennessee,Climb,Large,Unknown bird - large,Day,0,0,0,180.0
KANSAS CITY INTL,B-737-300,None,9/11/96 0:00,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,135.0
NEW ORLEANS INTL,B-737-700,None,9/9/99 0:00,SOUTHWEST AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Night,0,0,0,130.0
DALLAS/FORT WORTH INTL ARPT,MD-80,None,8/18/97 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
GREATER PITTSBURGH,DC-9-30,None,7/21/02 0:00,AIRTRAN AIRWAYS,Pennsylvania,Take-off run,Medium,Red-tailed hawk,Dusk,0,0,0,
PORTLAND INTL (OR),BE-300 KING,Minor,11/2/90 0:00,BUSINESS,Oregon,Approach,Large,Unknown bird - large,Dusk,17394,1739,19133,175.0
GREATER PITTSBURGH,MD-80,None,9/5/98 0:00,US AIRWAYS*,Pennsylvania,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,110.0
KANSAS CITY INTL,B-727-200,None,10/12/98 0:00,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,135.0
NEW ORLEANS INTL,MD-88,Minor,2/21/01 0:00,DELTA AIR LINES,Louisiana,Climb,Large,Unknown bird - large,Dawn,0,0,0,180.0
FORT LAUDERDALE/HOLLYWOOD INTL,B-737-700,None,9/24/00 0:00,SOUTHWEST AIRLINES,Florida,Descent,Medium,Unknown bird - medium,Night,0,0,0,220.0
PHILADELPHIA INTL,MD-82,None,10/17/90 0:00,AMERICAN AIRLINES,Pennsylvania,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,9/6/94 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Night,0,0,0,160.0
KANSAS CITY INTL,B-737-300,None,7/9/00 0:00,SOUTHWEST AIRLINES,Missouri,Landing Roll,Small,Killdeer,Dusk,0,0,0,110.0
